feature,coefficient,abs_coefficient
MAP3K1 (4214),-0.02482914313663288,0.02482914313663288
SLC24A5 (283652),-0.024825869159806262,0.024825869159806262
LCE1B (353132),-0.024749820591070407,0.024749820591070407
BCAT1 (586),0.024731991905447264,0.024731991905447264
ALG14 (199857),0.024689878582460748,0.024689878582460748
ZNF804B (219578),-0.024614730009501255,0.024614730009501255
OR12D3 (81797),-0.024463502704083522,0.024463502704083522
NRROS (375387),-0.024411350278069024,0.024411350278069024
RPS27L (51065),-0.02431059467225357,0.02431059467225357
NR1D2 (9975),0.02419129637810745,0.02419129637810745
RMND5B (64777),0.024052103323150893,0.024052103323150893
GNAT2 (2780),0.023942011374851302,0.023942011374851302
TPRG1 (285386),0.023898937432573333,0.023898937432573333
RAB3IP (117177),0.02387091136844385,0.02387091136844385
USP17L22 (100287513),0.023710628917579493,0.023710628917579493
UVRAG (7405),0.023620095673547135,0.023620095673547135
OR5W2 (390148),-0.023545219855263342,0.023545219855263342
NPFFR1 (64106),-0.023508796221120735,0.023508796221120735
SCN5A (6331),-0.023407579969757602,0.023407579969757602
INSYN1 (388135),0.02333706606704269,0.02333706606704269
FAM90A12 (645879),0.0233271729010193,0.0233271729010193
KLHDC2 (23588),0.023314875165631924,0.023314875165631924
COL6A6 (131873),-0.023292620598780223,0.023292620598780223
MXD1 (4084),-0.0232402893542373,0.0232402893542373
RET (5979),-0.02312561264789927,0.02312561264789927
SPAAR (158376),0.023113233477669602,0.023113233477669602
RNF228 (122319436),0.0229862328816569,0.0229862328816569
USP6 (9098),-0.022819607960274976,0.022819607960274976
UNCX (340260),-0.022647820289474038,0.022647820289474038
SLC15A5 (729025),-0.02228957140571277,0.02228957140571277
CPED1 (79974),-0.022140436860563897,0.022140436860563897
GDF7 (151449),0.022064847439806915,0.022064847439806915
DUSP6 (1848),-0.021953516962733562,0.021953516962733562
TSPAN33 (340348),0.021945123250315883,0.021945123250315883
TEX48 (100505478),0.02190488711700807,0.02190488711700807
RNF2 (6045),-0.021712801286385256,0.021712801286385256
IL23A (51561),-0.021646408765054054,0.021646408765054054
LYZ (4069),-0.02163111858885802,0.02163111858885802
CYLD (1540),0.021626260449792045,0.021626260449792045
PSMB3 (5691),0.02159336642024106,0.02159336642024106
OR8B3 (390271),-0.021557408817771264,0.021557408817771264
B3GALT1 (8708),-0.021517261159665315,0.021517261159665315
ERBB2 (2064),0.02138183857164208,0.02138183857164208
VPS9D1 (9605),-0.021330107277877576,0.021330107277877576
SERTAD2 (9792),0.021130155881707833,0.021130155881707833
DEFB131A (644414),-0.02112753624370539,0.02112753624370539
SLC44A5 (204962),-0.021123721138430994,0.021123721138430994
SMTNL2 (342527),0.021070100672094496,0.021070100672094496
MAP1S (55201),-0.020933382273543036,0.020933382273543036
UBA52 (7311),-0.020765542877541013,0.020765542877541013
OPRM1 (4988),-0.02057728768759547,0.02057728768759547
UNC93A (54346),0.020468174863229924,0.020468174863229924
MERTK (10461),0.02044945718757062,0.02044945718757062
IL20RB (53833),0.02043152172090807,0.02043152172090807
